Year,Reg,Group,Sex,DrAa0,DrAa1,DrAa5,DrAa10,DrAa15,DrAa20,DrAa25,DrAa30,DrAa35,DrAa40,DrAa45,DrAa50,DrAa55,DrAa60,DrAa65,DrAa70,DrAa75,DrAa80,DrAa85
2015,1100,T,B,6579,382,221,274,710,1270,2038,3386,4802,5651,7088,9599,13527,19464,26218,38318,57850,95053,172137
2015,1100,T,M,7329,420,260,319,972,1917,3098,5091,7326,8559,10810,14964,21351,31611,41546,58791,83221,118622,175102
2015,1100,T,F,5788,343,181,227,436,597,955,1689,2384,2929,3704,5008,7378,10974,16608,27888,46990,86571,171156
2015,1100,U,B,6038,325,196,263,611,1065,1859,3246,4669,5456,6811,9240,13014,18725,25584,37266,56787,93883,171862
2015,1100,U,M,6759,354,230,301,828,1615,2843,4924,7228,8324,10470,14663,21026,30974,41096,57601,82013,116192,174226
2015,1100,U,F,5279,295,160,223,388,513,891,1620,2269,2823,3581,4806,7065,10596,16239,27043,46204,86021,170978
2015,1100,R,B,8074,526,283,301,961,1958,2653,3883,5254,6271,7854,10536,14877,21564,28246,41367,60637,97864,172885
2015,1100,R,M,8906,585,333,362,1332,2866,3906,5653,7649,9281,11697,15682,22113,33226,42863,62134,86229,124096,177647
2015,1100,R,F,7196,463,231,238,561,902,1196,1948,2791,3279,4064,5579,8279,12141,17863,30380,49100,87927,171626
2015,3000,T,B,6063,301,196,257,648,1102,1761,2888,4032,4865,6272,8760,12417,17969,24346,35412,54376,90845,163917
2015,3000,T,M,6686,323,235,266,881,1655,2756,4430,6192,7357,9572,13666,19774,29510,38456,53515,76952,109525,157647
2015,3000,T,F,5405,278,154,247,404,526,759,1372,1953,2494,3249,4550,6666,9953,15529,26087,44726,84142,165565
2015,3000,U,B,5973,292,176,258,602,983,1652,2779,3894,4642,5963,8299,11751,17122,23664,34272,53193,89031,161641
2015,3000,U,M,6650,310,213,273,815,1489,2593,4291,6065,7026,9150,13047,18918,28242,37454,51292,74132,104268,153538
2015,3000,U,F,5258,273,137,242,381,467,731,1327,1840,2405,3104,4354,6368,9643,15212,25405,44152,83434,163924
2015,3000,R,B,6517,342,279,252,855,1709,2318,3482,4773,5985,7643,10677,15107,21578,27489,40056,58671,96710,171985
2015,3000,R,M,6879,382,329,239,1169,2449,3532,5134,6842,8954,11344,16027,22875,34408,42791,62933,87518,127591,176184
2015,3000,R,F,6135,300,226,266,508,848,918,1633,2587,2958,3929,5430,7985,11371,17052,28810,46783,86387,171031
2015,1114,T,B,6208,272,249,201,826,1162,1456,2323,3305,4130,5127,8829,12672,18276,25092,39039,61638,106763,181471
2015,1114,T,M,6396,361,364,224,1106,1714,2319,3340,5139,6362,7905,13882,20689,30113,41679,61311,91995,134332,195127
2015,1114,T,F,6010,177,128,177,538,636,592,1300,1529,2062,2635,4472,6205,9449,13908,27455,48009,96359,177881
2015,1114,U,B,5617,253,222,218,754,811,1306,2182,3198,4046,4908,8275,11939,17260,24105,38829,63196,108317,193547
2015,1114,U,M,5972,247,290,212,1010,1182,2041,3246,5205,6292,7577,13146,19907,29108,40754,62303,92740,136766,205022
2015,1114,U,F,5244,260,152,224,493,464,602,1133,1295,2013,2634,4375,5999,8850,13295,26636,50140,97559,190275
2015,1114,R,B,7482,310,304,169,971,2083,1820,2694,3570,4310,5541,9877,14130,20324,26977,39352,59580,105045,168659
2015,1114,R,M,7311,596,514,248,1298,3051,2949,3576,4983,6507,8478,15126,22059,31977,43337,59837,91032,131629,183219
2015,1114,R,F,7661,0,79,87,631,1106,565,1755,2131,2171,2637,4676,6662,10735,15132,28675,45161,95036,165162
2015,1115,T,B,8074,273,242,279,730,1245,2270,3296,5185,5781,7759,11653,15068,20471,28103,41837,62406,102234,183860
2015,1115,T,M,8803,391,295,440,783,1966,3361,5041,7867,8952,12291,18762,24867,34636,46714,70621,93835,134099,197903
2015,1115,T,F,7283,149,187,108,674,518,1140,1511,2624,2818,3643,5461,7358,10734,16696,28542,50391,92024,180522
2015,1115,U,B,7028,192,193,324,567,1107,2173,3209,4721,5530,7124,11110,13921,19402,27451,40695,62213,107415,187453
2015,1115,U,M,7909,268,292,533,712,1927,3240,5208,7151,8611,11401,18267,23673,32898,45859,67618,94330,142320,202753
2015,1115,U,F,6085,112,89,103,418,287,1088,1204,2446,2743,3463,5382,6882,10698,16472,28330,49905,96073,183649
2015,1115,R,B,10442,434,360,173,1125,1564,2497,3531,6421,6395,9096,12823,17729,23318,29929,44284,62783,94580,178185
2015,1115,R,M,10785,635,302,225,949,2053,3632,4610,9707,9741,13995,19686,27239,38688,48973,76969,92864,121648,189579
2015,1115,R,F,10058,223,421,119,1322,1059,1266,2366,3115,3012,4058,5653,8615,10842,17350,29001,51341,86095,175683
2015,1117,T,B,6766,355,242,158,921,1306,2688,3722,5330,6583,8541,11073,14921,21314,29927,44349,62947,101331,188366
2015,1117,T,M,7885,347,194,93,1275,1917,4151,5496,7889,9836,13440,17482,24189,37200,48496,72358,97484,135296,206083
2015,1117,T,F,5586,365,294,226,529,618,1132,1876,2794,3542,4264,5836,8133,11024,19281,32014,50424,91287,184238
2015,1117,U,B,5994,332,164,182,844,1159,2604,3543,5305,6447,8413,10908,14743,21146,30044,44869,65201,104488,196310
2015,1117,U,M,7370,405,142,119,1178,1751,3973,5158,8126,9808,13662,17962,24423,37464,49394,75796,101175,140704,222261
2015,1117,U,F,4541,255,187,248,484,518,1181,1906,2591,3386,3979,5351,7975,11009,19343,31650,52447,93972,190136
2015,1117,R,B,9890,440,526,72,1214,1882,3006,4422,5427,7105,8988,11609,15481,21885,29517,42669,56316,93077,167133
2015,1117,R,M,9981,142,379,0,1629,2512,4791,6740,7030,9937,12724,16043,23515,36390,45621,62160,87294,121882,159710
2015,1117,R,F,9795,760,686,148,714,1053,940,1749,3647,4174,5327,7531,8678,11076,19048,33240,44324,84159,168727
2015,1120,T,B,4960,276,167,195,701,1078,2098,3491,4947,5747,6891,9969,12858,18158,25767,40335,58993,95968,171591
2015,1120,T,M,5822,379,199,240,941,1667,3517,5480,7699,9006,10914,16109,20796,30632,42445,63885,89240,128060,186326
2015,1120,T,F,4049,167,134,148,444,459,658,1476,2277,2710,3215,4672,6479,9140,15274,28802,46066,84499,167385
2015,1120,U,B,5666,276,156,162,498,755,1940,3486,4828,5652,6528,9673,12309,17234,24308,38631,57057,93576,167213
2015,1120,U,M,6437,360,138,252,574,1129,3307,5572,7563,9120,10606,16201,20638,29588,41193,61332,85307,123722,184378
2015,1120,U,F,4850,188,175,66,415,364,613,1453,2235,2529,2995,4461,6142,8783,14078,27568,45139,82977,162024
2015,1120,R,B,3302,275,190,253,1146,2126,2498,3507,5221,5944,7559,10500,13876,19991,28803,43147,61958,99107,178023
2015,1120,R,M,4379,419,317,218,1754,3398,4014,5281,8004,8791,11438,15963,21056,32524,44890,68050,95085,133502,189475
2015,1120,R,F,2169,125,56,290,508,771,778,1536,2377,3099,3649,5090,7169,9896,17870,30849,47505,86538,175099
2015,1124,T,B,5517,357,154,259,384,1052,2013,3663,4901,5934,7807,11201,15909,21492,28796,40646,60733,101612,180291
2015,1124,T,M,5909,437,264,379,658,1582,2972,5237,6919,9362,12260,17099,25746,36653,49191,68271,94208,136059,187891
2015,1124,T,F,5109,273,39,133,98,474,983,2004,2939,2759,3909,6309,8721,11942,17268,28855,48967,92518,178618
2015,1124,U,B,4955,377,184,259,376,896,1988,3915,4769,6008,8085,10944,16145,20998,28942,41263,62970,102698,184802
2015,1124,U,M,5481,422,316,405,679,1463,2976,5671,7015,9758,13034,17062,27192,37306,49841,68941,98837,139849,200468
2015,1124,U,F,4411,330,47,106,59,279,992,2193,2738,2730,3944,6077,8541,11294,17633,29764,50915,93189,181515
2015,1124,R,B,8368,259,0,256,428,1926,2125,2570,5506,5591,6633,12142,15069,23463,28155,38149,52051,97800,162291
2015,1124,R,M,8028,505,0,248,554,2254,2957,3660,6553,7798,9362,17217,21316,34433,46703,65797,78799,124132,142857
2015,1124,R,F,8738,0,0,265,294,1568,938,993,4087,2919,3741,7237,9441,14844,15509,25029,40952,90102,166781
2015,1129,T,B,9046,395,162,315,844,1275,2566,3188,4622,6190,7656,10317,13666,19965,27231,37795,57759,101345,186456
2015,1129,T,M,9826,428,158,398,1069,1693,4006,4843,6383,9840,12122,16496,22600,32791,42739,57575,84793,127611,203407
2015,1129,T,F,8222,360,166,229,601,809,991,1395,2844,2723,3537,5098,6710,11120,17626,28239,46893,92745,182355
2015,1129,U,B,9149,294,216,299,768,1282,2522,3178,5042,6158,7387,9700,13285,19018,27293,38186,58943,103996,192648
2015,1129,U,M,9951,344,211,294,993,1731,3973,4982,7259,10055,11795,15818,22366,31337,43922,58331,87174,133720,214237
2015,1129,U,F,8305,241,221,304,529,793,959,1260,2883,2572,3489,4798,6633,10902,17301,28475,47567,93958,187089
2015,1129,R,B,8709,691,0,365,1076,1253,2715,3225,3175,6303,8499,12270,14878,23211,27020,36624,54535,95150,171961
2015,1129,R,M,9421,672,0,717,1297,1573,4113,4376,3593,9154,13055,18402,23247,37225,38893,55319,78266,112197,173171
2015,1129,R,F,7945,711,0,0,828,866,1103,1889,2696,3279,3701,6154,6983,11936,18842,27531,45061,89981,171717
2015,1134,T,B,7149,398,360,219,659,1359,2262,3104,4197,4966,7617,9829,15773,21981,30114,43361,62231,120403,203872
2015,1134,T,M,7409,358,544,184,884,1744,3482,4944,6115,7490,12046,15331,24500,35856,49260,68526,94728,168476,197084
2015,1134,T,F,6873,441,170,255,425,933,942,1211,2345,2639,3670,5121,8930,12254,17983,31733,50176,106311,205295
2015,1134,U,B,6354,343,224,218,517,1150,1987,2606,4403,4977,7310,9632,15342,20848,29006,43980,62811,124487,200977
2015,1134,U,M,6177,419,366,257,647,1487,3295,4505,6599,7430,11774,14663,25261,34045,48496,73547,98945,167345,198190
