Year,Reg,Group,Sex,ASMR_per_1000
1989,1100,R,B,11.8
1989,1100,R,F,8.6
1989,1100,R,M,17.1
1989,1100,T,B,11.6
1989,1100,T,F,8.8
1989,1100,T,M,16.5
1989,1100,U,B,11.6
1989,1100,U,F,8.9
1989,1100,U,M,16.3
1989,1101,R,B,12
1989,1101,R,F,9
1989,1101,R,M,17
1989,1101,T,B,11.9
1989,1101,T,F,8.9
1989,1101,T,M,16.9
1989,1101,U,B,11.9
1989,1101,U,F,9
1989,1101,U,M,16.9
1989,1103,R,B,12
1989,1103,R,F,8.7
1989,1103,R,M,16.9
1989,1103,T,B,11.7
1989,1103,T,F,8.8
1989,1103,T,M,16.2
1989,1103,U,B,11.5
1989,1103,U,F,8.9
1989,1103,U,M,15.5
1989,1104,R,B,12.7
1989,1104,R,F,9.1
1989,1104,R,M,18.1
1989,1104,T,B,12.1
1989,1104,T,F,9
1989,1104,T,M,17.3
1989,1104,U,B,11.9
1989,1104,U,F,9
1989,1104,U,M,17
1989,1105,R,B,13.7
1989,1105,R,F,10.3
1989,1105,R,M,18.1
1989,1105,T,B,13.2
1989,1105,T,F,10.2
1989,1105,T,M,17.5
1989,1105,U,B,13.1
1989,1105,U,F,10.1
1989,1105,U,M,17.3
1989,1107,R,B,13.5
1989,1107,R,F,10.1
1989,1107,R,M,19.2
1989,1107,T,B,12.9
1989,1107,T,F,9.7
1989,1107,T,M,17.9
1989,1107,U,B,12.3
1989,1107,U,F,9.4
1989,1107,U,M,17
1989,1108,R,B,14.7
1989,1108,R,F,11
1989,1108,R,M,19.3
1989,1108,T,B,13.6
1989,1108,T,F,10.1
1989,1108,T,M,19.1
1989,1108,U,B,13.4
1989,1108,U,F,10
1989,1108,U,M,19.1
1989,1110,R,B,13.2
1989,1110,R,F,10.2
1989,1110,R,M,17.3
1989,1110,T,B,12.5
1989,1110,T,F,9.6
1989,1110,T,M,16.7
1989,1110,U,B,12.2
1989,1110,U,F,9.3
1989,1110,U,M,16.4
1989,1111,R,B,12.5
1989,1111,R,F,9
1989,1111,R,M,18
1989,1111,T,B,12
1989,1111,T,F,9
1989,1111,T,M,17
1989,1111,U,B,11.8
1989,1111,U,F,9
1989,1111,U,M,16.7
1989,1112,R,B,11.4
1989,1112,R,F,8.4
1989,1112,R,M,16.4
1989,1112,T,B,11.8
1989,1112,T,F,8.8
1989,1112,T,M,16.8
1989,1112,U,B,12
